α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(2, 5, 3, 0)",59.83,31.93,1.74,10.0,0.83,"(6.2, 10.73, 9.46, 5.55)","(2.15, 0.47, 0.48, 2.89)","(0.41, 0.0, 0.0, 0.0)",4.84,16.64,"(6.2, 10.73, 9.46, 5.55)","(0.43, 0.05, 0.03, 0.14)","(0.01, 0.0, 0.0, 0.0)",793168
0.1,"(3, 5, 4, 0)",58.58,33.16,1.63,10.0,0.84,"(7.09, 10.46, 10.4, 5.21)","(1.59, 0.57, 0.23, 3.4)","(0.09, 0.0, 0.0, 0.0)",4.44,15.1,"(7.09, 10.46, 10.4, 5.21)","(0.32, 0.06, 0.02, 0.17)","(0.0, 0.0, 0.0, 0.0)",750924
0.2,"(4, 6, 5, 1)",57.05,36.58,1.4,10.0,0.86,"(7.98, 11.42, 11.43, 5.74)","(1.23, 0.48, 0.06, 3.28)","(0.0, 0.0, 0.0, 0.0)",3.64,11.78,"(7.98, 11.42, 11.43, 5.74)","(0.25, 0.05, 0.0, 0.16)","(0.0, 0.0, 0.0, 0.0)",318878
0.3,"(4, 6, 5, 1)",57.05,36.58,1.4,10.0,0.86,"(7.98, 11.42, 11.43, 5.74)","(1.23, 0.48, 0.06, 3.28)","(0.0, 0.0, 0.0, 0.0)",3.64,11.78,"(7.98, 11.42, 11.43, 5.74)","(0.25, 0.05, 0.0, 0.16)","(0.0, 0.0, 0.0, 0.0)",318878
0.4,"(5, 7, 6, 2)",55.23,42.41,1.05,10.0,0.9,"(9.75, 12.9, 12.86, 6.89)","(0.84, 0.52, 0.03, 2.18)","(0.0, 0.0, 0.0, 0.0)",2.33,6.92,"(9.75, 12.9, 12.86, 6.89)","(0.17, 0.05, 0.0, 0.11)","(0.0, 0.0, 0.0, 0.0)",93896
0.5,"(5, 7, 6, 2)",55.23,42.41,1.05,10.0,0.9,"(9.75, 12.9, 12.86, 6.89)","(0.84, 0.52, 0.03, 2.18)","(0.0, 0.0, 0.0, 0.0)",2.33,6.92,"(9.75, 12.9, 12.86, 6.89)","(0.17, 0.05, 0.0, 0.11)","(0.0, 0.0, 0.0, 0.0)",93896
0.6,"(5, 7, 6, 2)",55.23,42.41,1.05,10.0,0.9,"(9.75, 12.9, 12.86, 6.89)","(0.84, 0.52, 0.03, 2.18)","(0.0, 0.0, 0.0, 0.0)",2.33,6.92,"(9.75, 12.9, 12.86, 6.89)","(0.17, 0.05, 0.0, 0.11)","(0.0, 0.0, 0.0, 0.0)",93896
0.7,"(6, 8, 7, 3)",58.35,53.49,0.56,10.0,0.94,"(13.02, 15.79, 15.31, 9.37)","(0.4, 0.28, 0.0, 0.96)","(0.0, 0.0, 0.0, 0.0)",0.91,2.31,"(13.02, 15.79, 15.31, 9.37)","(0.08, 0.03, 0.0, 0.05)","(0.0, 0.0, 0.0, 0.0)",26356
0.8,"(6, 8, 7, 3)",58.35,53.49,0.56,10.0,0.94,"(13.02, 15.79, 15.31, 9.37)","(0.4, 0.28, 0.0, 0.96)","(0.0, 0.0, 0.0, 0.0)",0.91,2.31,"(13.02, 15.79, 15.31, 9.37)","(0.08, 0.03, 0.0, 0.05)","(0.0, 0.0, 0.0, 0.0)",26356
0.9,"(7, 9, 8, 4)",71.52,70.54,0.16,10.0,0.98,"(17.54, 20.51, 19.21, 13.28)","(0.09, 0.0, 0.0, 0.28)","(0.0, 0.0, 0.0, 0.0)",0.19,0.41,"(17.54, 20.51, 19.21, 13.28)","(0.02, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",4083
0.95,"(8, 9, 8, 4)",76.27,75.48,0.11,10.0,0.99,"(22.48, 20.51, 19.21, 13.28)","(0.01, 0.0, 0.0, 0.28)","(0.0, 0.0, 0.0, 0.0)",0.17,0.33,"(22.48, 20.51, 19.21, 13.28)","(0.0, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",4099
0.99,"(9, 10, 9, 5)",95.14,95.03,0.01,10.0,1.0,"(27.47, 25.51, 24.02, 18.03)","(0.0, 0.0, 0.0, 0.06)","(0.0, 0.0, 0.0, 0.0)",0.02,0.03,"(27.47, 25.51, 24.02, 18.03)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",245
0.999,"(9, 10, 10, 6)",105.0,105.0,0.0,10.0,1.0,"(27.47, 25.51, 29.02, 22.99)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(27.47, 25.51, 29.02, 22.99)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
