α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(1, 2, 2, 0)",54.56,13.33,2.05,6.0,0.66,"(2.5, 4.45, 4.72, 1.66)","(3.36, 3.21, 1.6, 5.77)","(2.2, 0.26, 0.0, 0.06)",6.23,18.55,"(2.5, 4.45, 4.72, 1.66)","(0.67, 0.32, 0.11, 0.29)","(0.04, 0.01, 0.0, 0.0)",674423
0.1,"(1, 3, 2, 0)",49.09,13.07,2.08,6.0,0.65,"(2.59, 4.02, 4.8, 1.66)","(3.05, 2.6, 1.39, 5.49)","(1.69, 0.11, 0.0, 0.03)",5.6,16.05,"(2.59, 4.02, 4.8, 1.66)","(0.61, 0.26, 0.09, 0.27)","(0.03, 0.0, 0.0, 0.0)",644171
0.2,"(2, 3, 3, 0)",41.19,13.79,1.91,6.0,0.68,"(2.72, 4.3, 5.1, 1.66)","(2.11, 2.09, 0.31, 5.23)","(0.54, 0.03, 0.0, 0.01)",4.46,12.63,"(2.72, 4.3, 5.1, 1.66)","(0.42, 0.21, 0.02, 0.26)","(0.01, 0.0, 0.0, 0.0)",537127
0.3,"(2, 4, 3, 1)",31.92,14.33,1.68,6.0,0.72,"(2.79, 3.77, 5.16, 2.61)","(1.99, 1.68, 0.17, 2.87)","(0.37, 0.0, 0.0, 0.0)",2.92,7.59,"(2.79, 3.77, 5.16, 2.61)","(0.4, 0.17, 0.01, 0.14)","(0.01, 0.0, 0.0, 0.0)",240049
0.4,"(3, 4, 3, 1)",28.11,15.15,1.44,6.0,0.76,"(3.58, 3.77, 5.2, 2.61)","(0.94, 1.68, 0.1, 2.86)","(0.14, 0.0, 0.0, 0.0)",2.26,4.96,"(3.58, 3.77, 5.2, 2.61)","(0.19, 0.17, 0.01, 0.14)","(0.0, 0.0, 0.0, 0.0)",199273
0.5,"(3, 4, 4, 1)",26.13,15.66,1.34,6.0,0.78,"(3.6, 3.77, 5.68, 2.61)","(0.91, 1.68, 0.05, 2.86)","(0.1, 0.0, 0.0, 0.0)",1.47,3.41,"(3.6, 3.77, 5.68, 2.61)","(0.18, 0.17, 0.0, 0.14)","(0.0, 0.0, 0.0, 0.0)",162131
0.6,"(3, 5, 4, 1)",27.28,18.49,0.92,6.0,0.85,"(3.6, 6.6, 5.68, 2.61)","(0.91, 0.0, 0.05, 2.86)","(0.1, 0.0, 0.0, 0.0)",1.47,3.41,"(3.6, 6.6, 5.68, 2.61)","(0.18, 0.0, 0.0, 0.14)","(0.0, 0.0, 0.0, 0.0)",162131
0.7,"(4, 5, 4, 2)",25.74,22.44,0.5,6.0,0.92,"(6.02, 6.6, 5.69, 4.12)","(0.16, 0.0, 0.01, 0.89)","(0.0, 0.0, 0.0, 0.0)",0.74,1.49,"(6.02, 6.6, 5.69, 4.12)","(0.03, 0.0, 0.0, 0.04)","(0.0, 0.0, 0.0, 0.0)",37452
0.8,"(4, 5, 5, 2)",26.27,24.55,0.38,6.0,0.94,"(6.02, 6.6, 7.81, 4.12)","(0.16, 0.0, 0.0, 0.89)","(0.0, 0.0, 0.0, 0.0)",0.22,0.45,"(6.02, 6.6, 7.81, 4.12)","(0.03, 0.0, 0.0, 0.04)","(0.0, 0.0, 0.0, 0.0)",33932
0.9,"(5, 6, 5, 2)",32.09,30.52,0.15,6.0,0.98,"(8.99, 9.6, 7.81, 4.12)","(0.0, 0.0, 0.0, 0.89)","(0.0, 0.0, 0.0, 0.0)",0.22,0.45,"(8.99, 9.6, 7.81, 4.12)","(0.0, 0.0, 0.0, 0.04)","(0.0, 0.0, 0.0, 0.0)",33932
0.95,"(5, 6, 5, 3)",33.28,33.05,0.08,6.0,0.99,"(8.99, 9.6, 7.81, 6.66)","(0.0, 0.0, 0.0, 0.13)","(0.0, 0.0, 0.0, 0.0)",0.03,0.06,"(8.99, 9.6, 7.81, 6.66)","(0.0, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",2541
0.99,"(6, 6, 6, 4)",42.01,42.0,0.0,6.0,1.0,"(11.99, 9.6, 10.81, 9.6)","(0.0, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(11.99, 9.6, 10.81, 9.6)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
0.999,"(6, 6, 6, 5)",45.0,45.0,0.0,6.0,1.0,"(11.99, 9.6, 10.81, 12.6)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(11.99, 9.6, 10.81, 12.6)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
